"LOCATION_CODE","Occupancy_Right_Desc","OWNED_OR_LEASED_INDICATOR","REGION_CODE","STREET_ADDRESS","CITY","STATE_CD","ZIPCODE5","Latitude","Longitude","BUILDING_RSF","BLD_VACANT_RSF","YEAR_BUILT","WALK_SCORE","TRANSIT_SCORE","CONGRESSIONAL_DISTRICT_CODE","Fed_POC","Fed_POC_Email","REPRESENTATIVE","REPRESENTATIVE_URL","LEASE_NUM","LEASE_EFFECTIVE_DATE","LEASE_EXPIRATION_DATE"
"DC0852","Leased","D","11","1722 I ST NW","WASHINGTON","DC","20006","38.901","-77.040851","169,201","126,730","","100","99","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12552","6/6/2012","6/5/2027"
"DC0852","Leased","D","11","1722 I ST NW","WASHINGTON","DC","20006","38.901","-77.040851","169,201","126,730","","100","99","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12632","8/19/2015","8/18/2025"
"DC0680","Leased","L","11","2300 N ST NW","WASHINGTON","DC","20037","38.9069","-77.050761","0","0","2000","97","88","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0680","Leased","D","11","2300 N ST NW","WASHINGTON","DC","20037","38.9069","-77.050761","0","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00672","2/8/2023","2/6/2032"
"DC0003","Owned","F","11","1400 INDEPENDENCE AVE SW","WASHINGTON","DC","20250","38.886777","-77.02997","390,397","0","1908","61","95","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1345","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1879","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1439","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0016","Owned","F","11","450 E ST NW","WASHINGTON","DC","20001","38.896067","-77.017594","53,161","0","1910","97","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0125","Owned","F","11","736 JACKSON PL NW","WASHINGTON","DC","20006","38.89975","-77.038401","6,277","0","1869","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0296","Owned","F","11","325 13TH ST SW","WASHINGTON","DC","20024","38.8852487","-77.029561","55,159","0","1957","65","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0593","Owned","F","11","2300 E ST NW","WASHINGTON","DC","20037","38.8959556","-77.050203","19,651","0","1910","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0592","Owned","F","11","2300 E ST NW","WASHINGTON","DC","20037","38.8959556","-77.050203","15,937","0","1843","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0322","Leased","L","11","5044 MILLWOOD LN NW","WASHINGTON","DC","20016","38.933523","-77.101506","0","0","2000","20","40","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0458","Owned","F","11","S CAPITOL ST SE","WASHINGTON","DC","20032","38.840014","-77.008892","58,167","0","1996","45","55","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0121","Owned","F","11","722 JACKSON PL NW","WASHINGTON","DC","20006","38.89942","-77.038401","4,551","0","1969","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0111","Owned","F","11","1520 H ST NW","WASHINGTON","DC","20005","38.900061","-77.03487","11,561","0","1820","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1452","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","20,545","0","1885","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0055","Leased","L","11","2200 C ST NW","WASHINGTON","DC","20037","38.893479","-77.048976","189,008","0","2000","84","77","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0055","Leased","D","11","2200 C ST NW","WASHINGTON","DC","20037","38.893479","-77.048976","189,008","0","","84","77","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00366","6/29/2019","6/28/2034"
"DC0292","Leased","L","11","500 C ST SW","WASHINGTON","DC","20024","38.88538","-77.018641","303,546","0","1981","84","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0292","Leased","D","11","500 C ST SW","WASHINGTON","DC","20024","38.88538","-77.018641","303,546","0","","84","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02139","8/16/2009","8/15/2027"
"DC0264","Owned","F","11","2300 E ST NW","WASHINGTON","DC","20037","38.8959554","-77.050203","900","0","1942","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0129","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1902","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0532","Owned","F","11","2430 E ST NW","WASHINGTON","DC","20037","38.8947683","-77.052273","12,812","0","1933","85","77","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0423","Leased","L","11","1730 M ST NW","WASHINGTON","DC","20036","38.90533","-77.040091","35,765","0","2000","99","99","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0423","Leased","D","11","1730 M ST NW","WASHINGTON","DC","20036","38.90533","-77.040091","35,765","0","","99","99","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00353","10/25/2019","10/24/2034"
"DC0246","Leased","L","11","1120 CONNECTICUT AVE NW","WASHINGTON","DC","20036","38.9041651","-77.0410395","0","0","2000","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0328","Leased","L","11","1400 NEW YORK AVE NW","WASHINGTON","DC","20005","38.89886","-77.032421","168,496","0","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0328","Leased","D","11","1400 NEW YORK AVE NW","WASHINGTON","DC","20005","38.89886","-77.032421","168,496","0","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12554","8/31/2014","8/30/2029"
"DC1459","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1878","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0309","Leased","L","11","400 C ST SW","WASHINGTON","DC","20024","38.88542","-77.018071","209,114","0","1982","85","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0309","Leased","D","11","400 C ST SW","WASHINGTON","DC","20024","38.88542","-77.018071","209,114","0","","85","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12566","1/2/2013","8/15/2027"
"DC0309","Leased","D","11","400 C ST SW","WASHINGTON","DC","20024","38.88542","-77.018071","209,114","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00519","1/2/2021","1/1/2026"
"DC0811","Leased","L","11","G ST NW","WASHINGTON","DC","20005","38.8983129","-77.030332","22,424","8,544","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0811","Leased","D","11","G ST NW","WASHINGTON","DC","20005","38.8983129","-77.030332","22,424","8,544","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12707","4/7/2016","4/6/2026"
"DC1402","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9394528","-77.082516","31,064","31,637","1943","68","54","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0506","Leased","L","11","1800 M ST NW","WASHINGTON","DC","20036","38.90509","-77.042181","53,460","53,460","2000","99","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0506","Leased","D","11","1800 M ST NW","WASHINGTON","DC","20036","38.90509","-77.042181","53,460","53,460","","99","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12646","1/31/2015","1/30/2025"
"DC0084","Owned","F","11","600 INDEPENDENCE AVE SW","WASHINGTON","DC","20597","38.88721","-77.021069","338,213","0","1964","75","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0117","Owned","F","11","708 JACKSON PL NW","WASHINGTON","DC","20006","38.89911","-77.038331","3,759","3,914","1859","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1336","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","31,203","35,330","1883","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0516","Owned","F","11","1300 PENNSYLVANIA AVE NW","WASHINGTON","DC","20004","38.89393","-77.031211","114","0","1996","78","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1454","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1942","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0397","Leased","L","11","3365 V ST NE","WASHINGTON","DC","20018","38.918252","-76.960046","10,424","0","2000","46","40","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0397","Leased","D","11","3365 V ST NE","WASHINGTON","DC","20018","38.918252","-76.960046","10,424","0","","46","40","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12650","3/31/2014","3/30/2026"
"DC0043","Leased","L","11","1200 1ST ST NE","WASHINGTON","DC","20002","38.90607","-77.006351","26,327","0","2008","93","85","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0043","Leased","D","11","1200 1ST ST NE","WASHINGTON","DC","20002","38.90607","-77.006351","26,327","0","","93","85","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00418","12/21/2019","12/20/2029"
"DC0014","Owned","F","11","333 CONSTITUTION AVE NW","WASHINGTON","DC","20001","38.892996","-77.016447","530,211","9,928","1952","89","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0560","Leased","L","11","1750 PENNSYLVANIA AVE NW","WASHINGTON","DC","20006","38.89882","-77.040881","121,424","366","2000","100","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0560","Leased","D","11","1750 PENNSYLVANIA AVE NW","WASHINGTON","DC","20006","38.89882","-77.040881","121,424","366","","100","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02294","1/31/2012","8/18/2025"
"DC0560","Leased","D","11","1750 PENNSYLVANIA AVE NW","WASHINGTON","DC","20006","38.89882","-77.040881","121,424","366","","100","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02295","1/31/2012","8/18/2025"
"DC0560","Leased","D","11","1750 PENNSYLVANIA AVE NW","WASHINGTON","DC","20006","38.89882","-77.040881","121,424","366","","100","98","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02288","1/31/2012","8/18/2025"
"DC1427","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9388671","-77.083905","293","0","1987","74","52","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0220","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","31,399","0","2013","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0021","Owned","F","11","1800 F ST NW","WASHINGTON","DC","20405","38.897127","-77.04257","522,181","215,971","1917","96","90","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0536","Leased","L","11","1111 18TH ST NW","WASHINGTON","DC","20036","38.90441","-77.041301","74,234","0","2000","100","99","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0536","Leased","D","11","1111 18TH ST NW","WASHINGTON","DC","20036","38.90441","-77.041301","74,234","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00483","6/12/2020","6/11/2030"
"DC0034","Owned","F","11","330 INDEPENDENCE AVE SW","WASHINGTON","DC","20201","38.88684","-77.016317","1,045,197","290,963","1939","68","97","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0437","Leased","L","11","1310 G ST NW","WASHINGTON","DC","20005","38.89804","-77.030441","61,194","12,183","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0437","Leased","D","11","1310 G ST NW","WASHINGTON","DC","20005","38.89804","-77.030441","61,194","12,183","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12619","6/11/2015","6/10/2025"
"DC0437","Leased","D","11","1310 G ST NW","WASHINGTON","DC","20005","38.89804","-77.030441","61,194","12,183","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12654","4/25/2015","4/24/2025"
"DC0690","Leased","L","11","1201 I ST NW","WASHINGTON","DC","20005","38.90164","-77.028551","0","0","2000","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0690","Leased","D","11","1201 I ST NW","WASHINGTON","DC","20005","38.90164","-77.028551","0","0","","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12556","4/30/2012","4/29/2025"
"DC1447","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1891","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0685","Leased","L","11","3035 V ST NE","WASHINGTON","DC","20018","38.918475","-76.965215","27,100","0","2000","53","42","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0685","Leased","D","11","3035 V ST NE","WASHINGTON","DC","20018","38.918475","-76.965215","27,100","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00638","6/30/2022","6/29/2032"
"DC0096","Leased","L","11","150 M ST NE","WASHINGTON","DC","20002","38.9056786","-77.00442","493,620","0","2000","94","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0096","Leased","D","11","150 M ST NE","WASHINGTON","DC","20002","38.9056786","-77.00442","493,620","0","","94","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00311","10/5/2018","10/4/2033"
"DC0564","Leased","L","11","830 1ST ST NE","WASHINGTON","DC","20002","38.9011","-77.007691","247,337","131,681","2000","96","88","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0564","Leased","D","11","830 1ST ST NE","WASHINGTON","DC","20002","38.9011","-77.007691","247,337","131,681","","96","88","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02296","7/31/2011","7/30/2026"
"DC0001","Owned","F","11","325 13TH ST SW","WASHINGTON","DC","20024","38.8852487","-77.029561","144,702","0","1933","65","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0242","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","5,163","0","2012","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0221","Leased","L","11","999 N CAPITOL ST NE","WASHINGTON","DC","20002","38.90203","-77.008411","214,881","0","1972","93","88","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0221","Leased","D","11","999 N CAPITOL ST NE","WASHINGTON","DC","20002","38.90203","-77.008411","214,881","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00551","11/20/2021","11/19/2036"
"DC0221","Leased","D","11","999 N CAPITOL ST NE","WASHINGTON","DC","20002","38.90203","-77.008411","214,881","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00604","4/9/2024","4/8/2044"
"DC0454","Leased","L","11","888 1ST ST NE","WASHINGTON","DC","20002","38.90155","-77.007101","503,997","146,539","2000","96","88","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0454","Leased","D","11","888 1ST ST NE","WASHINGTON","DC","20002","38.90155","-77.007101","503,997","146,539","","96","88","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC30168","9/28/1995","9/27/2025"
"DC1184","Leased","L","11","1100 L ST NW","WASHINGTON","DC","20005","38.90339","-77.027521","318,562","0","1969","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1184","Leased","D","11","1100 L ST NW","WASHINGTON","DC","20005","38.90339","-77.027521","318,562","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00707","4/30/2023","4/29/2038"
"DC1184","Leased","D","11","1100 L ST NW","WASHINGTON","DC","20005","38.90339","-77.027521","318,562","0","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00008","10/17/2018","10/16/2033"
"DC0409","Leased","L","11","250 E ST SW","WASHINGTON","DC","20024","38.88293","-77.014501","122,137","6,252","2000","70","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0409","Leased","D","11","250 E ST SW","WASHINGTON","DC","20024","38.88293","-77.014501","122,137","6,252","","70","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12661","11/21/2015","11/20/2030"
"DC0409","Leased","D","11","250 E ST SW","WASHINGTON","DC","20024","38.88293","-77.014501","122,137","6,252","","70","89","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12711","10/23/2016","10/22/2031"
"DC0223","Leased","L","11","1750 H ST NW","WASHINGTON","DC","20006","38.899989","-77.040905","11,858","0","2000","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0223","Leased","D","11","1750 H ST NW","WASHINGTON","DC","20006","38.899989","-77.040905","11,858","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00479","7/21/2023","7/20/2033"
"DC0585","Leased","L","11","1250 24TH ST NW","WASHINGTON","DC","20037","38.90649","-77.051921","19,528","0","2000","92","86","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0585","Leased","D","11","1250 24TH ST NW","WASHINGTON","DC","20037","38.90649","-77.051921","19,528","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00516","2/7/2022","2/6/2032"
"DC4207","Leased","L","3","1201 MARYLAND AVE SW","WASHINGTON","DC","20024","38.884698","-77.029353","11,649","0","2000","65","89","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4207","Leased","D","3","1201 MARYLAND AVE SW","WASHINGTON","DC","20024","38.884698","-77.029353","11,649","0","","65","89","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","LDC00020","10/2/2017","10/1/2032"
"DC1416","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9402337","-77.082171","24,924","0","1947","68","54","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1444","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1924","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1412","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9394788","-77.082117","2,289","0","1916","68","54","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0090","Owned","F","11","935 PENNSYLVANIA AVE NW","WASHINGTON","DC","20535","38.895226","-77.024959","1,779,349","0","1971","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0067","Leased","L","11","145 N STREET, NE","WASHINGTON","DC","20002","38.907212","-77.004793","575,790","0","2008","92","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0067","Leased","D","11","145 N STREET, NE","WASHINGTON","DC","20002","38.907212","-77.004793","575,790","0","","92","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02066","8/22/2010","8/21/2025"
"DC0067","Leased","D","11","145 N STREET, NE","WASHINGTON","DC","20002","38.907212","-77.004793","575,790","0","","92","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02012","6/22/2010","6/21/2025"
"DC0230","Leased","L","11","1880 2ND ST SW","WASHINGTON","DC","20024","38.8674851","-77.013595","0","0","2000","69","56","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0230","Leased","D","11","1880 2ND ST SW","WASHINGTON","DC","20024","38.8674851","-77.013595","0","0","","41","51","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00340","1/27/2018","1/26/2026"
"DC1392","Leased","L","11","1201 15TH ST NW","WASHINGTON","DC","20005","38.90594","-77.033911","2,149","0","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1392","Leased","D","11","1201 15TH ST NW","WASHINGTON","DC","20005","38.90594","-77.033911","2,149","0","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00442","12/18/2019","12/17/2029"
"DC1446","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1924","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0501","Owned","F","11","201 14TH STREET SW","WASHINGTON","DC","20002","38.8873519","-77.032664","181,502","0","1880","56","91","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0226","Leased","L","11","600 19TH ST NW","WASHINGTON","DC","20006","38.89777","-77.043941","463,151","0","2000","98","94","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0226","Leased","D","11","600 19TH ST NW","WASHINGTON","DC","20006","38.89777","-77.043941","463,151","0","","98","94","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02231","5/31/2014","9/28/2028"
"DC0705","Owned","F","11","1301 CONSTITUTION AVE NW","WASHINGTON","DC","20240","38.892148","-77.030142","73,128","0","1934","80","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0713","Leased","L","11","3298 FORT LINCOLN DR NE","WASHINGTON","DC","20018","38.92144","-76.956861","53","0","2000","51","41","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0713","Leased","D","11","3298 FORT LINCOLN DR NE","WASHINGTON","DC","20018","38.92144","-76.956861","53","0","","51","41","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00397","3/24/2019","3/23/2029"
"DC0717","Leased","L","11","425 3RD ST SW","WASHINGTON","DC","20024","38.88361","-77.015541","76,200","0","2007","83","91","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
